date;pole;client;vol_reel;vol_pred;vol_low;vol_high;z_pred;z_actual;ops_reel;ops_pred;ops_low;ops_high;horodatage
2026-01-02;BULK_S;S;0.0;8.814391414141413;0.0;4.159999999999764;-1.43;-1.45;1;1;1;1;2026-05-21 09:28
2026-01-02;BULK_W;W;0.0;0.0;0.0;0.0;-1.8;-1.8;1;1;1;1;2026-05-21 09:28
2026-01-02;GLOBAL_S;S;0.0;124.26574074074072;0.0;0.0;-1.49;-1.5;1;1;1;1;2026-05-21 09:28
2026-01-02;GLOBAL_W;W;0.0;0.0;0.0;0.0;-1.92;-1.92;1;1;1;1;2026-05-21 09:28
2026-01-02;PICKING_S;S;0.0;103.5512962962963;0.0;0.0;-1.46;-1.49;1;1;1;1;2026-05-21 09:28
2026-01-02;PICKING_W;W;0.0;134.3596785714286;0.0;0.0;-1.67;-1.69;1;1;1;1;2026-05-21 09:28
2026-01-02;PROMO_S;S;0.0;1.885;0.0;0.0;-1.44;-1.45;1;1;1;1;2026-05-21 09:28
2026-01-02;PROMO_W;W;0.0;0.0;0.0;0.0;-1.68;-1.68;1;1;1;1;2026-05-21 09:28
2026-01-05;BULK_S;S;638.0;928.807077920462;463.43125;1325.0114285714285;0.98;0.22;4;5;3;8;2026-05-21 09:28
2026-01-05;BULK_W;W;677.0;426.58788682833637;214.30637681159422;622.597773279352;-0.46;0.32;4;3;2;4;2026-05-21 09:28
2026-01-05;GLOBAL_S;S;13878.0;18964.61366763365;8744.81;30352.102380952383;1.19;0.47;72;99;46;158;2026-05-21 09:28
2026-01-05;GLOBAL_W;W;26299.0;17529.015788386845;11940.88571428571;23174.090476190475;0.19;1.24;137;91;62;121;2026-05-21 09:28
2026-01-05;PICKING_S;S;7061.0;12063.671788447458;5031.768571428571;19793.025000000005;1.0;-0.03;7;11;5;19;2026-05-21 09:28
2026-01-05;PICKING_W;W;15638.0;10736.223519472049;7384.126153846154;15234.532330827067;0.19;1.05;15;10;7;14;2026-05-21 09:28
2026-01-05;PROMO_S;S;6179.0;5304.387912175324;2528.5;7500.2821428571415;0.83;1.2;8;7;3;9;2026-05-21 09:28
2026-01-05;PROMO_W;W;9984.0;7539.632166107086;4825.798214285713;10973.960000000001;0.44;1.13;12;9;6;13;2026-05-21 09:28
2026-01-06;BULK_S;S;525.0;467.44753597622736;153.25256410256407;793.8587912087912;-0.23;-0.08;3;3;1;5;2026-05-21 09:28
2026-01-06;BULK_W;W;741.0;561.8692854442041;258.10499999999996;917.9999999999999;-0.04;0.52;4;4;2;5;2026-05-21 09:28
2026-01-06;GLOBAL_S;S;13398.0;9845.546652408086;6103.664180672268;17123.48021978022;-0.11;0.4;70;52;32;89;2026-05-21 09:28
2026-01-06;GLOBAL_W;W;12703.0;16436.569423571265;12352.82857142857;21032.363999999998;0.06;-0.39;66;86;65;109;2026-05-21 09:28
2026-01-06;PICKING_S;S;7972.0;5157.818911013816;3168.804545454545;7324.930915750918;-0.42;0.16;8;5;3;7;2026-05-21 09:28
2026-01-06;PICKING_W;W;5098.0;8409.447850338229;5507.967832167832;11543.47619047619;-0.22;-0.8;5;8;6;11;2026-05-21 09:28
2026-01-06;PROMO_S;S;4901.0;3983.160871615324;807.6799999999989;6746.85;0.26;0.65;6;5;1;8;2026-05-21 09:28
2026-01-06;PROMO_W;W;6864.0;7624.749220825265;5109.4944444444445;10576.2;0.47;0.25;8;9;6;13;2026-05-21 09:28
2026-01-07;BULK_S;S;1882.0;522.2389287989702;224.5785714285714;830.5733766233766;-0.08;3.47;11;3;2;5;2026-05-21 09:28
2026-01-07;BULK_W;W;1071.0;657.6292472071659;286.1323809523809;986.4157495256167;0.26;1.56;6;4;2;6;2026-05-21 09:28
2026-01-07;GLOBAL_S;S;20454.0;8202.305461570004;6564.261228070175;9890.846376811598;-0.34;1.4;106;43;35;52;2026-05-21 09:28
2026-01-07;GLOBAL_W;W;25423.0;13797.399566717711;9793.284615384615;18393.43724137931;-0.26;1.14;132;72;51;96;2026-05-21 09:28
2026-01-07;PICKING_S;S;10616.0;4800.8735223305275;3351.4109677419356;6223.318534482759;-0.5;0.7;10;5;4;6;2026-05-21 09:28
2026-01-07;PICKING_W;W;11555.0;6427.228690100779;3713.7079999999996;9033.96;-0.56;0.34;11;6;4;9;2026-05-21 09:28
2026-01-07;PROMO_S;S;7956.0;2292.933528016962;1770.687394957983;2869.5285714285715;-0.46;1.96;10;3;3;4;2026-05-21 09:28
2026-01-07;PROMO_W;W;12797.0;6447.058404881953;3862.5874999999996;8647.85;0.13;1.92;15;8;5;10;2026-05-21 09:28
2026-01-08;BULK_S;S;1025.0;852.1701201513483;416.1912087912088;1383.2121428571427;0.78;1.23;6;5;3;8;2026-05-21 09:28
2026-01-08;BULK_W;W;572.0;567.5804198164321;303.16538461538465;868.1168831168832;-0.02;-0.01;4;4;2;5;2026-05-21 09:28
2026-01-08;GLOBAL_S;S;7543.0;8582.728016027277;6279.091941391942;13265.702222222226;-0.29;-0.43;40;45;33;69;2026-05-21 09:28
2026-01-08;GLOBAL_W;W;7316.0;8649.49356793168;6727.611904761904;11482.050588235295;-0.88;-1.04;38;45;35;60;2026-05-21 09:28
