date;jour_semaine;semaine;vol_BULK_S;vol_BULK_W;vol_PICKING_S;vol_PICKING_W;vol_PROMO_S;vol_PROMO_W;vol_GLOBAL_S;vol_GLOBAL_W;vol_low_BULK_S;vol_low_BULK_W;vol_low_PICKING_S;vol_low_PICKING_W;vol_low_PROMO_S;vol_low_PROMO_W;vol_low_GLOBAL_S;vol_low_GLOBAL_W;vol_high_BULK_S;vol_high_BULK_W;vol_high_PICKING_S;vol_high_PICKING_W;vol_high_PROMO_S;vol_high_PROMO_W;vol_high_GLOBAL_S;vol_high_GLOBAL_W;ops_BULK_S;ops_BULK_W;ops_PICKING_S;ops_PICKING_W;ops_PROMO_S;ops_PROMO_W;ops_GLOBAL_S;ops_GLOBAL_W;ops_low_BULK_S;ops_low_BULK_W;ops_low_PICKING_S;ops_low_PICKING_W;ops_low_PROMO_S;ops_low_PROMO_W;ops_low_GLOBAL_S;ops_low_GLOBAL_W;ops_high_BULK_S;ops_high_BULK_W;ops_high_PICKING_S;ops_high_PICKING_W;ops_high_PROMO_S;ops_high_PROMO_W;ops_high_GLOBAL_S;ops_high_GLOBAL_W;z_BULK_S;z_BULK_W;z_PICKING_S;z_PICKING_W;z_PROMO_S;z_PROMO_W;z_GLOBAL_S;z_GLOBAL_W;vol_total;ops_total;ops_total_low;ops_total_high;ops_S;ops_W;mois;horodatage
2026-01-02;Friday;1;10;60;130;1352;72;533;128;1662;0;0;0;0;0;0;0;0;39;132;0;3310;0;1494;0;5650;1;1;1;2;1;1;1;9;1;1;1;1;1;1;1;1;1;1;1;4;1;2;1;30;-1.36;-1.66;-1.4;-1.51;-1.35;-1.56;-1.44;-1.77;3906;17;8;41;4;13;1;2026-05-20 16:56
2026-01-05;Monday;2;260;788;2812;15206;1892;12782;4962;27307;564;416;5738;8152;4458;7629;10858;15518;1173;835;13527;15322;7649;11698;22648;26696;2;5;3;14;3;15;26;142;4;3;6;8;6;9;57;81;7;5;13;14;9;14;118;139;0.75;0.12;0.39;0.39;1.17;1.12;0.77;0.63;75708;210;174;319;34;176;1;2026-05-20 16:56
2026-01-06;Tuesday;2;179;888;1860;9556;1420;9475;3307;19948;312;448;4173;5260;3634;5849;6755;11914;830;921;8695;10356;6687;9731;16343;20426;1;5;2;9;2;11;18;104;2;3;4;5;5;7;35;62;5;5;8;10;8;12;85;106;0.06;0.37;-0.25;-0.39;0.52;0.39;0.01;-0.05;52882;152;123;239;23;129;1;2026-05-20 16:56
2026-01-07;Wednesday;2;273;1072;1929;11066;1483;12280;3864;24220;370;571;4412;5023;1896;5275;7179;12627;1547;1106;9077;11457;6668;13069;19578;24260;2;6;2;11;2;15;21;126;2;4;5;5;3;7;38;66;9;6;9;11;8;15;102;126;0.86;0.81;-0.2;-0.18;0.61;1.01;0.27;0.35;62238;185;130;286;27;158;1;2026-05-20 16:56
2026-01-08;Thursday;2;289;704;1538;5529;699;4618;2540;11006;674;373;3876;2995;1772;2556;6682;6735;1188;716;5878;5472;2451;4935;9455;11042;2;4;2;6;1;6;14;58;4;3;4;3;3;3;35;35;7;4;6;5;3;6;49;58;0.99;-0.08;-0.46;-0.94;-0.48;-0.67;-0.34;-0.89;33377;93;90;138;19;74;1;2026-05-20 16:56
2026-01-09;Friday;2;5;0;5;27;1;21;9;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.4;-1.8;-1.48;-1.69;-1.44;-1.67;-1.5;-1.92;103;8;8;8;4;4;1;2026-05-20 16:56
2026-01-12;Monday;3;418;920;3871;14539;2306;12940;6886;29333;926;423;8745;7578;5385;8177;16972;15615;1767;1053;16239;15105;9661;12433;28091;32829;3;5;4;14;3;15;36;152;5;3;8;7;7;10;88;81;10;6;15;14;12;15;146;171;2.09;0.44;1.1;0.29;1.75;1.15;1.65;0.82;88485;232;209;389;46;186;1;2026-05-20 16:56
2026-01-13;Tuesday;3;149;693;1929;11926;1201;8938;3391;20927;241;381;4686;6264;3101;5628;8660;13064;899;694;7942;11638;4501;8988;14381;19716;1;4;2;11;2;11;18;109;2;3;5;6;4;7;45;68;5;4;8;11;6;11;75;103;-0.19;-0.11;-0.2;-0.06;0.22;0.28;0.05;0.04;54610;158;140;223;23;135;1;2026-05-20 16:56
2026-01-14;Wednesday;3;275;1229;1371;9860;621;10147;2276;21516;446;653;3245;5964;1647;5870;6185;13254;1153;1289;5511;9535;2376;9930;8933;21116;2;7;2;9;1;12;12;112;3;4;3;6;2;7;33;69;7;7;6;9;3;12;47;110;0.88;1.2;-0.57;-0.34;-0.59;0.54;-0.46;0.09;47943;157;127;201;17;140;1;2026-05-20 16:56
2026-01-15;Thursday;3;416;575;1673;6483;796;5400;2773;11464;893;256;3770;3078;1847;2532;7254;6474;1767;698;7128;7686;3660;7229;10906;12670;3;4;2;6;1;7;15;60;5;2;4;3;3;3;38;34;10;4;7;7;5;9;57;66;2.07;-0.4;-0.37;-0.81;-0.34;-0.5;-0.23;-0.85;36896;98;92;165;21;77;1;2026-05-20 16:56
2026-01-16;Friday;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1.43;-1.8;-1.49;-1.69;-1.45;-1.68;-1.5;-1.92;7;8;8;8;4;4;1;2026-05-20 16:56
2026-01-19;Monday;4;472;909;4165;11537;2480;9286;7471;21889;1041;411;8610;6784;6237;5896;20046;12444;1832;1110;16301;11567;9668;9297;27569;21207;3;5;4;11;3;11;39;114;6;3;8;7;8;7;104;65;10;6;15;11;12;11;143;110;2.54;0.42;1.29;-0.12;1.99;0.35;1.92;0.13;81081;190;208;318;49;141;1;2026-05-20 16:56
2026-01-20;Tuesday;4;124;677;1840;11610;1215;8749;3277;20921;207;376;4904;7340;3456;5418;8667;13448;684;688;7092;10939;4417;8173;12755;18391;1;4;2;11;2;10;17;109;2;3;5;7;4;7;45;70;4;4;7;10;6;10;67;96;-0.4;-0.15;-0.26;-0.11;0.24;0.24;-0.0;0.04;53508;156;143;204;22;134;1;2026-05-20 16:56
2026-01-21;Wednesday;4;231;1211;1396;9448;580;9731;2207;20170;398;600;3586;4924;1560;5121;6238;11261;1122;1251;5441;9385;2239;9556;8034;19441;2;7;2;9;1;12;12;105;3;4;4;5;2;6;33;59;7;7;5;9;3;11;42;101;0.5;1.15;-0.55;-0.4;-0.64;0.45;-0.49;-0.03;45822;150;116;185;17;133;1;2026-05-20 16:56
